Participant ID,Previous ID,Date Started,Date Finished,Total Time Taken,IP Address,Referer,Question Order,Section Order,Section Order Names,ABOUT YOU,What is your nationality? --  --  --  --   --  -- ,What is your gender? Please specify.  --  -- ,What is your age group? Please specify.  --  -- ,Please specify,What is your total household income? Please write it down in numbers.  --  -- ,What is your marital status?  Please select one of the answers below. --  -- ,Do you have children?  Please select one of the answers below. --  -- ,Have you studied in the UK before? Please select one of the answers below. --  -- ,ABOUT YOUR OPINIONS,Would a possible increase in tuition fees avert you or your children (if applicable) from studying in the UK after the transition period?  --  -- ,Would a possible cessation in UK student loans towards the EU students avert you or your children (if applicable) study in the UK after the transition period?  --  -- ,Would a possible non-recognition of the UK diploma from the other European countries affect your decision to study in the UK after the transition period?  --  -- ,"Would you study in the UK after the transition period, if you did not have the right to stay and work there after the completion of the degree?  --  --  --  -- Would you send your children to study in the UK, according to the above criteria?  --  -- ",Which of the following would avert you or your children (if applicable) the most from studying in the UK after the transition period?  --  --  --  -- Please select only one answer.  --  -- ,Are you concerned about how the future political decisions of the UK will affect the British Higher Education for the EU citizens?  --  -- ,Would you be willing for you or your children (if applicable) to study in the UK if the conditions change?  --  -- ,Would you be willing for you or your children (if applicable) to study in the UK if all the conditions stay the same?  --  -- ,"According to the current situation and the unverified uncertainties, are you more likely to stay a future customer of the UK Higher Education or not?  --  --  --  -- Same applies to your children (if applicable).  --  -- ","In case you or your children (if applicable) are not willing to study in the UK, in which other EU country would you select to study and why?  --  --  --  -- Please justify your answer if you like.  --  -- ",,,,,,,,,,,,,,,,,
4164360,--,1st Jul 2020 2:56 pm,1st Jul 2020 3:00 pm,"3 minutes, 29 seconds",152.78.118.247,https://www.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Italian,male,MATRIX START,26-34,35000,Single,No,Yes,Section Start,No,No,Yes,Do not know yet,Non-recognition of the degree,No,Yes,Yes,Yes,Maybe Italy. But i not mind staying in UK. Actually I support the brexit.,,,,,,,,,,,,,,,,,
4164485,--,1st Jul 2020 4:18 pm,1st Jul 2020 4:20 pm,"2 minutes, 25 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,female,MATRIX START,26-34,8000,Single,No,No,Section Start,Yes,Yes,Yes,Yes,Non-recognition of the degree,Yes,Yes,Yes,Yes,Netherlands,,,,,,,,,,,,,,,,,
4164694,--,1st Jul 2020 6:55 pm,1st Jul 2020 7:27 pm,"32 minutes, 17 seconds",152.78.118.247,https://l.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,greek,female,MATRIX START,26-34,10000,Single,No,No,Section Start,Yes,No,Yes,Do not know yet,Non-recognition of the degree,Yes,Do not know yet,Yes,No,italy because of the high level of universities,,,,,,,,,,,,,,,,,
4164712,--,1st Jul 2020 7:08 pm,1st Jul 2020 7:17 pm,"9 minutes, 41 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Cypriot,female,MATRIX START,26-34,1000,Single,No,Yes,Section Start,Yes,Yes,Yes,No,No work permit,Yes,Yes,No,No,"Germany, because of good conditions of living and income",,,,,,,,,,,,,,,,,
4164727,--,1st Jul 2020 7:15 pm,1st Jul 2020 7:18 pm,"3 minutes, 15 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek ,female,MATRIX START,18-25,9200,Single,No,No,Section Start,Yes,Yes,Yes,Yes,Non-recognition of the degree,Yes,Yes,Yes,No,Sweden. Highly respected education. ,,,,,,,,,,,,,,,,,
4164731,--,1st Jul 2020 7:17 pm,1st Jul 2020 7:26 pm,"9 minutes, 35 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,female,MATRIX START,26-34,12000,None of the above,No,Yes,Section Start,Yes,Yes,Yes,Yes,International Tuition Fees,Yes,Yes,Do not know yet,Yes,Greece or Netherlands,,,,,,,,,,,,,,,,,
4164734,--,1st Jul 2020 7:18 pm,1st Jul 2020 7:27 pm,"8 minutes, 37 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,female,MATRIX START,35-44,25000,Married,Yes,No,Section Start,No,Do not know yet,Yes,Yes,Non-recognition of the degree,Yes,Yes,Yes,Yes,I would like to study in Germany.,,,,,,,,,,,,,,,,,
4164767,--,1st Jul 2020 7:47 pm,1st Jul 2020 7:54 pm,"6 minutes, 51 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Romanian ,female,MATRIX START,18-25,250,Single,No,No,Section Start,Yes,Yes,Yes,No,Non-recognition of the degree,Yes,Do not know yet,Yes,Yes,In Bulgaria because is also known as a strong country for studies ,,,,,,,,,,,,,,,,,
4164801,--,1st Jul 2020 8:23 pm,1st Jul 2020 8:32 pm,"9 minutes, 28 seconds",152.78.118.247,https://l.messenger.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,male,MATRIX START,26-34,35000,Single,No,No,Section Start,Yes,No,Yes,No,Non-recognition of the degree,Yes,Do not know yet,Do not know yet,No,"Belgium, Netherlands, Sweden, Germany",,,,,,,,,,,,,,,,,
4164838,--,1st Jul 2020 9:00 pm,1st Jul 2020 9:05 pm,"4 minutes, 53 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,male,MATRIX START,26-34,800,Single,No,No,Section Start,Yes,Yes,Yes,No,Non-recognition of the degree,Yes,Yes,No,No,Germany. Germany has a goood reputation in study and allow people to study free,,,,,,,,,,,,,,,,,
4164861,--,1st Jul 2020 9:17 pm,1st Jul 2020 9:22 pm,"4 minutes, 56 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,male,MATRIX START,26-34,25000,Single,No,No,Section Start,Yes,Yes,Yes,No,Non-recognition of the degree,Yes,Do not know yet,Yes,No,Greece,,,,,,,,,,,,,,,,,
4164935,--,1st Jul 2020 9:58 pm,1st Jul 2020 10:03 pm,"4 minutes, 9 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,male,MATRIX START,26-34,1200,None of the above,No,No,Section Start,Yes,No,Yes,No,Non-recognition of the degree,Yes,Yes,No,No,Germany,,,,,,,,,,,,,,,,,
4165254,--,2nd Jul 2020 9:21 am,2nd Jul 2020 9:26 am,"5 minutes, 5 seconds",152.78.118.247,,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Italian,female,MATRIX START,26-34,35000,Single,No,No,Section Start,Do not know yet,Do not know yet,Yes,Do not know yet,Non-recognition of the degree,Yes,Do not know yet,Do not know yet,No,"Germany / Holland. 
Both offer a good education and work opportunities after university.",,,,,,,,,,,,,,,,,
4165337,--,2nd Jul 2020 10:20 am,2nd Jul 2020 10:26 am,"5 minutes, 51 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Lithuanian,female,MATRIX START,26-34,150,Single,No,No,Section Start,Do not know yet,Do not know yet,Yes,No,No work permit,No,Yes,No,Yes,Sweeden,,,,,,,,,,,,,,,,,
4165494,--,2nd Jul 2020 12:24 pm,2nd Jul 2020 12:26 pm,"2 minutes, 14 seconds",152.78.118.247,https://l.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,male,MATRIX START,26-34,32400,None of the above,No,No,Section Start,Yes,Do not know yet,Yes,No,Non-recognition of the degree,Yes,Yes,Do not know yet,No,"Netherlands, great education system, way cheaper tuition",,,,,,,,,,,,,,,,,
4166008,--,2nd Jul 2020 6:25 pm,2nd Jul 2020 6:31 pm,"5 minutes, 40 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek ,female,MATRIX START,18-25,10,Single,No,Yes,Section Start,Yes,Yes,Yes,No,No work permit,Do not know yet,No,Do not know yet,No,Sweden or the Netherlands ,,,,,,,,,,,,,,,,,
4166083,--,2nd Jul 2020 7:31 pm,2nd Jul 2020 7:37 pm,"6 minutes, 6 seconds",152.78.118.247,,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,female,MATRIX START,45-54,14,Married,Yes,No,Section Start,Yes,Yes,Yes,Yes,Non-recognition of the degree,Yes,Do not know yet,Yes,Yes,The Netherlands,,,,,,,,,,,,,,,,,
4166175,--,2nd Jul 2020 8:51 pm,2nd Jul 2020 8:58 pm,"6 minutes, 57 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Romanian,female,MATRIX START,18-25,1500,None of the above,No,No,Section Start,Yes,Yes,Yes,No,Non-recognition of the degree,Yes,Yes,No,No,"Spain, because of the research opportunities",,,,,,,,,,,,,,,,,
4167460,--,3rd Jul 2020 8:03 pm,3rd Jul 2020 8:07 pm,"4 minutes, 1 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Romanian,female,MATRIX START,18-25,5000,None of the above,No,No,Section Start,Do not know yet,Do not know yet,Yes,Yes,Non-recognition of the degree,Yes,Do not know yet,Yes,No,Finland. Really good education system,,,,,,,,,,,,,,,,,
4167484,--,3rd Jul 2020 8:08 pm,3rd Jul 2020 8:12 pm,"3 minutes, 18 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Romanian,male,MATRIX START,18-25,5000,None of the above,No,No,Section Start,Yes,Do not know yet,Yes,No,Non-recognition of the degree,Yes,Do not know yet,Yes,No,Finlanda. Very good educational system,,,,,,,,,,,,,,,,,
4167533,--,3rd Jul 2020 9:04 pm,3rd Jul 2020 9:08 pm,"3 minutes, 39 seconds",152.78.118.247,https://l.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Romanian,female,MATRIX START,26-34,1500,Single,No,No,Section Start,Do not know yet,Yes,Yes,No,No work permit,Do not know yet,,Do not know yet,Yes,Denmark,,,,,,,,,,,,,,,,,
4167549,--,3rd Jul 2020 9:21 pm,3rd Jul 2020 9:25 pm,"3 minutes, 51 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek ,female,MATRIX START,35-44,30000,Married,Yes,No,Section Start,Do not know yet,Do not know yet,Yes,Yes,Non-recognition of the degree,No,Yes,Yes,No,Germany ,,,,,,,,,,,,,,,,,
4167554,--,3rd Jul 2020 9:25 pm,3rd Jul 2020 9:29 pm,"4 minutes, 28 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,female,MATRIX START,18-25,7000,None of the above,No,No,Section Start,Yes,Yes,Yes,Yes,Non-recognition of the degree,Do not know yet,No,Do not know yet,No,Spain just because of its amazing culture and big unis especially in Barcelona ,,,,,,,,,,,,,,,,,
4167561,--,3rd Jul 2020 9:31 pm,3rd Jul 2020 9:46 pm,"14 minutes, 29 seconds",152.78.118.247,,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,female,MATRIX START,18-25,8000,Single,No,No,Section Start,Yes,Yes,Yes,No,Non-recognition of the degree,Yes,Yes,Yes,No,France due to the high academic quality and universal recognition along with more manageable tuition fees ,,,,,,,,,,,,,,,,,
4167577,--,3rd Jul 2020 9:53 pm,3rd Jul 2020 9:56 pm,"3 minutes, 11 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,female,MATRIX START,18-25,70000,Single,No,Yes,Section Start,Yes,Yes,Yes,No,Non-recognition of the degree,Yes,No,Yes,No,"France, Netherlands",,,,,,,,,,,,,,,,,
4167586,--,3rd Jul 2020 10:03 pm,3rd Jul 2020 10:07 pm,"3 minutes, 35 seconds",152.78.118.247,https://l.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,male,MATRIX START,26-34,37500,Single,No,Yes,Section Start,Yes,Yes,Yes,No,International Tuition Fees,Yes,No,Yes,No,Netherlands because of cheap tuition fees and recognised diplomas,,,,,,,,,,,,,,,,,
4167601,--,3rd Jul 2020 10:17 pm,3rd Jul 2020 10:26 pm,"9 minutes, 8 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,female,MATRIX START,18-25,6000,Single,No,No,Section Start,Yes,Do not know yet,Yes,No,Non-recognition of the degree,No,No,Yes,No,France,,,,,,,,,,,,,,,,,
4167627,--,3rd Jul 2020 10:45 pm,3rd Jul 2020 10:56 pm,"10 minutes, 40 seconds",152.78.118.247,https://l.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,GREEK,female,MATRIX START,26-34,0,Single,No,No,Section Start,Yes,Yes,Yes,Do not know yet,Non-recognition of the degree,Do not know yet,Do not know yet,Yes,No,"Any other country that offers a subject that interests me , good financial support solutions for my styudies and most importantly, proper recognition of degree.",,,,,,,,,,,,,,,,,
4167635,--,3rd Jul 2020 10:55 pm,3rd Jul 2020 10:59 pm,"4 minutes, 31 seconds",152.78.118.247,,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Serbian,male,MATRIX START,18-25,4500,Single,No,No,Section Start,No,Do not know yet,Yes,No,Non-recognition of the degree,Yes,Do not know yet,No,No,"Belgium or Germany, the reasons are well known. ",,,,,,,,,,,,,,,,,
4167667,--,4th Jul 2020 12:02 am,4th Jul 2020 12:14 am,"12 minutes, 11 seconds",152.78.118.247,https://l.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,GREEK,female,MATRIX START,35-44,30000,Married,Yes,No,Section Start,Yes,Yes,Yes,Do not know yet,No work permit,Yes,Yes,Do not know yet,Yes,"GERMANY, WORKING CONDITIONS",,,,,,,,,,,,,,,,,
4167843,--,4th Jul 2020 8:13 am,4th Jul 2020 8:20 am,"6 minutes, 25 seconds",152.78.118.247,https://l.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,male,MATRIX START,26-34,"35,000",Single,No,Yes,Section Start,Yes,Do not know yet,Yes,Do not know yet,Non-recognition of the degree,Yes,Do not know yet,Yes,Yes,"I would select to study in Germany or in some Scandinavian country because of the high level of studies and the career opportunities offered there without any special requirements, such as a visa or an income threshold.",,,,,,,,,,,,,,,,,
